FILETYPE=CHANNEL DATA (ARRAY)
TYPE=RamanShift
LASER=532nm
LEN=546
CCD=Artemis
IT=1000ms
DATETIME=2025-07-28 12:53:15
XAREA=Min:-7.5, Max:7.5, Step:0.75, Count:21
YAREA=Min:-10, Max:10, Step:0.8, Count:26
ZAREA=
MAPAREA=YX
CHCOUNT=4
CHNO=0
CHTYPE=PeakHeight
CHPEAKLABEL=E1_height
CHPEAKCENTER=351
CHPEAKWIDTH=2
CHPEAKBACKGROUND=0
CHTHRESHOLD=0
CHNO=1
CHTYPE=PeakHeight
CHPEAKLABEL=A_heigt
CHPEAKCENTER=419.5
CHPEAKWIDTH=2
CHPEAKBACKGROUND=0
CHTHRESHOLD=0
CHNO=2
CHTYPE=PeakWidth
CHPEAKLABEL=E_freq
CHPEAKCENTER=351
CHPEAKWIDTH=3
CHPEAKBACKGROUND=0
CHTHRESHOLD=0
CHNO=3
CHTYPE=PeakWidth
CHPEAKLABEL=A_freq
CHPEAKCENTER=419.5
CHPEAKWIDTH=3
CHPEAKBACKGROUND=0
CHTHRESHOLD=0
MAPARRAY=
X,Y,Z,CHNO=0,CHNO=1,CHNO=2,CHNO=3,
-3.75,-4.4,0,2972,989,351.176,420.714
-3,-4.4,0,2567,793,351.176,420.714
-2.25,-4.4,0,2683,878,351.176,420.714
-1.5,-4.4,0,2607,988,351.176,420.714
-0.75,-4.4,0,2625,966,351.176,420.714
0,-4.4,0,3075,1210,351.176,420.714
0.75,-4.4,0,3614,1446,351.176,420.714
1.5,-4.4,0,1647,825,351.176,420.714
2.25,-4.4,0,652,487,351.176,420.714
3,-4.4,0,532,483,351.176,417.703
3.75,-4.4,0,558,522,349.658,417.703
4.5,-4.4,0,564,503,351.176,419.209
5.25,-4.4,0,558,471,351.176,420.714
6,-4.4,0,496,474,351.176,417.703
6.75,-4.4,0,558,548,351.176,417.703
7.5,-4.4,0,604,502,351.176,420.714
-7.5,-3.6,0,3728,1277,351.176,420.714
-6.75,-3.6,0,2955,1037,351.176,420.714
-6,-3.6,0,2945,1099,351.176,420.714
-5.25,-3.6,0,3363,1514,351.176,420.714
-4.5,-3.6,0,3363,1514,351.176,420.714
-3.75,-3.6,0,3128,946,351.176,420.714
-3,-3.6,0,2546,894,351.176,420.714
-2.25,-3.6,0,2451,868,351.176,420.714
-1.5,-3.6,0,2522,926,351.176,420.714
-0.75,-3.6,0,2617,1073,351.176,420.714
0,-3.6,0,3326,1325,351.176,420.714
0.75,-3.6,0,2930,873,351.176,420.714
1.5,-3.6,0,973,483,351.176,420.714
2.25,-3.6,0,538,492,351.176,420.714
3,-3.6,0,469,503,351.176,419.209
3.75,-3.6,0,531,510,349.658,420.714
4.5,-3.6,0,536,531,349.658,417.703
5.25,-3.6,0,481,471,348.139,420.714
6,-3.6,0,508,498,348.139,417.703
6.75,-3.6,0,549,553,349.658,419.209
7.5,-3.6,0,518,476,351.176,419.209
-7.5,-2.8,0,3007,967,351.176,420.714
-6.75,-2.8,0,2488,858,351.176,420.714
-6,-2.8,0,2940,1038,351.176,420.714
-5.25,-2.8,0,3194,1239,351.176,420.714
-4.5,-2.8,0,3119,1141,351.176,420.714
-3.75,-2.8,0,2950,920,351.176,420.714
-3,-2.8,0,2608,822,351.176,420.714
-2.25,-2.8,0,2571,891,351.176,420.714
-1.5,-2.8,0,2692,905,351.176,420.714
-0.75,-2.8,0,2913,1077,351.176,420.714
0,-2.8,0,3554,1146,351.176,420.714
0.75,-2.8,0,1993,685,351.176,420.714
1.5,-2.8,0,676,552,351.176,417.703
2.25,-2.8,0,536,530,351.176,419.209
3,-2.8,0,519,566,349.658,419.209
3.75,-2.8,0,545,494,351.176,417.703
4.5,-2.8,0,568,529,351.176,419.209
5.25,-2.8,0,525,477,351.176,420.714
6,-2.8,0,523,518,349.658,417.703
6.75,-2.8,0,603,597,351.176,419.209
7.5,-2.8,0,502,466,348.139,420.714
-7.5,-2,0,2583,835,351.176,420.714
-6.75,-2,0,2484,886,351.176,420.714
-6,-2,0,2741,914,351.176,420.714
-5.25,-2,0,2928,1143,351.176,420.714
-4.5,-2,0,2638,1026,351.176,420.714
-3.75,-2,0,2604,1030,351.176,420.714
-3,-2,0,2490,1022,351.176,420.714
-2.25,-2,0,2517,930,351.176,420.714
